ticket,signal,is_long,profit,bars,close_time,reason,run
20,EMA_CROSS_BULL,True,0.34999999999968173,11,2023-02-08 14:00:00,SL,A_nofilter
21,EMA_CROSS_BEAR,False,87.9171249179808,2,2023-02-08 18:00:00,TP1,A_nofilter
21,EMA_CROSS_BEAR,False,175.8342498359616,5,2023-02-08 21:00:00,TP2,A_nofilter
22,EMA_CROSS_BULL,True,92.79230755638127,6,2023-02-14 16:00:00,TP1,A_nofilter
22,EMA_CROSS_BULL,True,185.58461511276255,9,2023-02-14 19:00:00,TP2,A_nofilter
23,EMA_CROSS_BULL,True,-109.99568835238733,5,2023-02-16 11:00:00,SL,A_nofilter
24,EMA_CROSS_BEAR,False,90.24486020679763,6,2023-02-17 05:00:00,TP1,A_nofilter
24,EMA_CROSS_BEAR,False,0.7499999999993179,7,2023-02-17 06:00:00,SL,A_nofilter
25,EMA_CROSS_BULL,True,-109.25969496293466,4,2023-02-27 05:00:00,SL,A_nofilter
26,EMA_CROSS_BEAR,False,90.47235730934744,1,2023-02-27 08:00:00,TP1,A_nofilter
26,EMA_CROSS_BEAR,False,0.4499999999995907,2,2023-02-27 09:00:00,SL,A_nofilter
27,EMA_CROSS_BULL,True,-109.62077568990026,2,2023-03-02 09:00:00,SL,A_nofilter
28,EMA_CROSS_BEAR,False,-109.68699865471763,3,2023-03-02 21:00:00,SL,A_nofilter
29,EMA_CROSS_BULL,True,88.65422409387634,6,2023-03-03 05:00:00,TP1,A_nofilter
29,EMA_CROSS_BULL,True,167.9764245989236,13,2023-03-03 12:00:00,TP2,A_nofilter
30,EMA_CROSS_BEAR,False,-111.53578417189647,1,2023-03-03 21:00:00,SL,A_nofilter
32,EMA_CROSS_BEAR,False,-109.13363470139323,1,2023-03-06 15:00:00,SL,A_nofilter
31,EMA_CROSS_BULL,True,-106.35362190192382,19,2023-03-06 16:00:00,SL,A_nofilter
33,EMA_CROSS_BULL,True,-105.68572332091935,3,2023-03-08 14:00:00,SL,A_nofilter
34,EMA_CROSS_BEAR,False,-108.64747037262987,7,2023-03-08 21:00:00,SL,A_nofilter
35,EMA_CROSS_BULL,True,85.57790391575566,6,2023-03-09 05:00:00,TP1,A_nofilter
35,EMA_CROSS_BULL,True,0.4499999999995907,7,2023-03-09 06:00:00,SL,A_nofilter
36,EMA_CROSS_BEAR,False,86.50079005884324,5,2023-03-09 14:00:00,TP1,A_nofilter
36,EMA_CROSS_BEAR,False,0.34999999999968173,6,2023-03-09 15:00:00,SL,A_nofilter
37,EMA_CROSS_BULL,True,-111.952680965785,5,2023-03-13 15:00:00,SL,A_nofilter
38,EMA_CROSS_BEAR,False,85.09747781758597,3,2023-03-13 17:00:00,TP1,A_nofilter
38,EMA_CROSS_BEAR,False,170.19495563517194,3,2023-03-13 17:00:00,TP2,A_nofilter
39,EMA_CROSS_BEAR,False,88.71536051642282,4,2023-03-17 05:00:00,TP1,A_nofilter
39,EMA_CROSS_BEAR,False,177.4307210328477,8,2023-03-17 09:00:00,TP2,A_nofilter
40,EMA_CROSS_BEAR,False,-109.98318730768233,3,2023-03-22 22:00:00,SL,A_nofilter
41,EMA_CROSS_BULL,True,-113.07989572109818,4,2023-03-23 12:00:00,SL,A_nofilter
42,EMA_CROSS_BEAR,False,-107.98172669240375,6,2023-03-23 18:00:00,SL,A_nofilter
43,EMA_CROSS_BULL,True,-109.17083548902542,4,2023-03-23 19:00:00,SL,A_nofilter
44,EMA_CROSS_BULL,True,89.23839078516357,8,2023-03-27 16:00:00,TP1,A_nofilter
44,EMA_CROSS_BULL,True,178.47678157032533,11,2023-03-27 19:00:00,TP2,A_nofilter
45,EMA_CROSS_BULL,True,-111.50361804613726,10,2023-03-29 05:00:00,SL,A_nofilter
46,EMA_CROSS_BULL,True,-109.7968642667156,1,2023-03-31 10:00:00,SL,A_nofilter
47,EMA_CROSS_BEAR,False,88.53991994158946,7,2023-03-31 18:00:00,TP1,A_nofilter
47,EMA_CROSS_BEAR,False,165.27451722430033,18,2023-04-03 05:00:00,TP2,A_nofilter
48,EMA_CROSS_BULL,True,92.85117373903302,6,2023-04-05 08:00:00,TP1,A_nofilter
48,EMA_CROSS_BULL,True,179.71194917232538,13,2023-04-05 15:00:00,TP2,A_nofilter
49,EMA_CROSS_BEAR,False,95.14490766991548,12,2023-04-06 23:00:00,TP1,A_nofilter
49,EMA_CROSS_BEAR,False,190.28981533983097,12,2023-04-06 23:00:00,TP2,A_nofilter
50,EMA_CROSS_BEAR,False,95.59929440795214,7,2023-04-10 02:00:00,TP1,A_nofilter
50,EMA_CROSS_BEAR,False,191.1985888159043,18,2023-04-10 13:00:00,TP2,A_nofilter
51,EMA_CROSS_BEAR,False,-116.62930291306249,6,2023-04-13 17:00:00,SL,A_nofilter
52,EMA_CROSS_BULL,True,-114.10360221708402,7,2023-04-14 07:00:00,SL,A_nofilter
53,EMA_CROSS_BEAR,False,-116.87858486205869,3,2023-04-14 10:00:00,SL,A_nofilter
54,EMA_CROSS_BULL,True,-113.1642531360169,3,2023-04-14 13:00:00,SL,A_nofilter
55,EMA_CROSS_BEAR,False,93.11045186749199,6,2023-04-14 22:00:00,TP1,A_nofilter
55,EMA_CROSS_BEAR,False,186.22090373498398,7,2023-04-14 23:00:00,TP2,A_nofilter
56,EMA_CROSS_BULL,True,-118.29284441636219,9,2023-04-20 02:00:00,SL,A_nofilter
57,EMA_CROSS_BULL,True,-112.23746447843949,5,2023-04-20 14:00:00,SL,A_nofilter
58,EMA_CROSS_BEAR,False,97.86956641853965,7,2023-04-20 21:00:00,TP1,A_nofilter
58,EMA_CROSS_BEAR,False,207.25319947455247,27,2023-04-21 17:00:00,TP2,A_nofilter
59,EMA_CROSS_BULL,True,-116.2253273264596,4,2023-05-01 05:00:00,SL,A_nofilter
60,EMA_CROSS_BEAR,False,-119.05819397450661,3,2023-05-03 18:00:00,SL,A_nofilter
61,EMA_CROSS_BULL,True,94.73059131748268,7,2023-05-04 08:00:00,TP1,A_nofilter
61,EMA_CROSS_BULL,True,182.44410179663328,13,2023-05-04 14:00:00,TP2,A_nofilter
62,EMA_CROSS_BEAR,False,-115.57629308375361,6,2023-05-08 20:00:00,SL,A_nofilter
63,EMA_CROSS_BULL,True,-118.24616862594803,3,2023-05-08 23:00:00,SL,A_nofilter
64,EMA_CROSS_BEAR,False,-113.33794558464798,7,2023-05-09 07:00:00,SL,A_nofilter
65,EMA_CROSS_BEAR,False,95.07207137516889,4,2023-05-11 08:00:00,TP1,A_nofilter
65,EMA_CROSS_BEAR,False,0.39999999999963626,5,2023-05-11 09:00:00,SL,A_nofilter
66,EMA_CROSS_BEAR,False,94.09220226317461,9,2023-05-19 18:00:00,TP1,A_nofilter
66,EMA_CROSS_BEAR,False,178.27996218285716,20,2023-05-22 05:00:00,TP2,A_nofilter
67,EMA_CROSS_BULL,True,98.45195169357773,22,2023-06-05 09:00:00,TP1,A_nofilter
67,EMA_CROSS_BULL,True,208.48648593934104,22,2023-06-05 09:00:00,TP2,A_nofilter
68,EMA_CROSS_BEAR,False,99.40035997674386,5,2023-06-06 02:00:00,TP1,A_nofilter
68,EMA_CROSS_BEAR,False,0.5999999999994543,12,2023-06-06 09:00:00,SL,A_nofilter
69,EMA_CROSS_BULL,True,-123.19123652528106,8,2023-06-06 23:00:00,SL,A_nofilter
70,EMA_CROSS_BEAR,False,100.83527738383633,4,2023-06-07 03:00:00,TP1,A_nofilter
70,EMA_CROSS_BEAR,False,208.6247118286269,7,2023-06-07 06:00:00,TP2,A_nofilter
71,EMA_CROSS_BULL,True,-122.52687849756603,3,2023-06-07 19:00:00,SL,A_nofilter
72,EMA_CROSS_BEAR,False,-119.95364657330538,9,2023-06-08 06:00:00,SL,A_nofilter
